WD16CD,WD16NM,FID
E05007922,Pershore,4765
E05007870,Batchley & Brockhill,4766
E05007683,East Grinstead Imberhorne,4767
E05007483,Heath,4768
E05007630,Wisborough Green,4769
E05007417,Elstead and Thursley,4770
E05007356,Englefield Green West,4771
E05007923,Pinvin,4772
E05007871,Central,4773
E05007631,Bewbush,4774
E05007684,East Grinstead Town,4775
E05007484,Kingswood,4776
E05007418,Ewhurst,4777
E05007357,Foxhills,4778
E05007924,South Bredon Hill,4779
E05007632,Broadfield North,4780
E05007485,Poplar,4781
E05007685,Hassocks,4782
E05007419,Farnham Bourne,4783
E05007872,Church Hill,4784
E05007486,St Nicolas,4785
E05007633,Broadfield South,4786
E05007873,Crabbs Cross,4787
E05007358,New Haw,4788
E05007874,Greenlands,4789
E05007359,Thorpe,4790
E05007360,Virginia Water,4791
E05007361,Woodham,4792
E05007362,Ashford Common,4793
E05007363,Ashford East,4794
E05007364,Ashford North and Stanwell South,4795
E05007365,Ashford Town,4796
E05007366,Halliford and Sunbury West,4797
E05007367,Laleham and Shepperton Green,4798
E05007368,Riverside and Laleham,4799
E05007369,Shepperton Town,4800
E05008190,Sundorne,4801
E05008759,Goldington,4802
E05008191,Tern,4803
E05008760,Great Barford,4804
E05008192,The Meres,4805
E05008761,Harpur,4806
E05008193,Underdale,4807
E05008762,Harrold,4808
E05008194,Wem,4809
E05008763,Kempston Central and East,4810
E05008195,Whitchurch North,4811
E05008764,Kempston North,4812
E05008765,Kempston Rural,4813
E05008196,Whitchurch South,4814
E05008653,Sutton,4815
E05008766,Kempston South,4816
E05008520,Belper South,4817
E05008364,Hilperton,4818
E05008414,Warminster Without,4819
E05008579,Little Paxton,4820
E05008198,Worfield,4821
E05008654,Willaston and Rope,4822
E05008767,Kempston West,4823
E05008521,Duffield,4824
E05008703,Winnington and Castle,4825
E05008365,Holt and Staverton,4826
E05008415,West Selkley,4827
E05008580,St Ives South,4828
E05008655,Wilmslow Dean Row,4829
E05008522,Heanor East,4830
E05008704,Winsford Over and Verdin,4831
E05008366,Kington,4832
E05008322,Bryher,4833
E05008581,St Neots Eaton Ford,4834
E05008416,Westbury East,4835
E05008656,Wilmslow East,4836
E05008705,Winsford Swanlow and Dene,4837
E05008523,"Kilburn, Denby and Holbrook",4838
E05008367,"Laverstock, Ford and Old Sarum",4839
E05008417,Westbury North,4840
E05008582,St Neots Priory Park,4841
E05008323,St. Agnes,4842
E05008524,"Shipley Park, Horsley and Horsley Woodhouse",4843
E05008657,Wilmslow Lacey Green,4844
E05008706,Winsford Wharton,4845
E05008368,Ludgershall and Perham Down,4846
E05008584,Upwood and The Raveleys,4847
E05008418,Westbury West,4848
E05008768,Kingsbrook,4849
E05008369,Lyneham,4850
E05008658,Wilmslow West and Chorley,4851
E05008707,Witton and Rudheath,4852
E05008525,Alconbury and The Stukeleys,4853
E05008599,Ambrook,4854
