,Candidate,Elected,Party,Votes,Ward
1701,James ROBSON,0,Lab,156.0,Kilbirnie and Beith
1702,James SMITH,0,Ind,263.0,Kilbirnie and Beith
1703,Joe CULLINANE,1,Lab,1949.0,Kilwinning
1704,Scott DAVIDSON,1,SNP,1466.0,Kilwinning
1705,John GLOVER,1,Con,1224.0,Kilwinning
1706,Matthew John GRAINGER,0,UKIP,60.0,Kilwinning
1707,Susan JOHNSON,0,SNP,460.0,Kilwinning
1708,Yvonne MCLELLAN,0,Grn,193.0,Kilwinning
1709,Donald REID,1,Lab,402.0,Kilwinning
1710,Alex GALLAGHER,1,Lab,1160.0,North Coast and Cumbraes
1711,Alan HILL,1,SNP,1406.0,North Coast and Cumbraes
1712,Tom MARSHALL,1,Con,2686.0,North Coast and Cumbraes
1713,Johnny MCCLOSKEY,0,Ind,124.0,North Coast and Cumbraes
1714,Grace MCLEAN,0,SNP,1075.0,North Coast and Cumbraes
1715,Ian MURDOCH,1,Ind,801.0,North Coast and Cumbraes
1716,Roberta BIANCHINI,0,SNP,619.0,Saltcoats
1717,Brandon CLYDESDALE,0,Con,655.0,Saltcoats
1718,Jean MCCLUNG,1,SNP,900.0,Saltcoats
1719,Ronnie MCNICOL,1,Ind,570.0,Saltcoats
1720,Jim MONTGOMERIE,1,Lab,1279.0,Saltcoats
1721,Valerie REID,0,Lab,100.0,Saltcoats
1722,Caroline SANTOS,0,UKIP,46.0,Saltcoats
1723,David HIGGINS,0,Ind,97.0,Stevenston
1724,Tom MCCAMMONT,0,Con,573.0,Stevenston
1725,Davina MCTIERNAN,1,SNP,782.0,Stevenston
1726,Jimmy MILLER,1,Lab,579.0,Stevenston
1727,Alan MUNRO,0,Ind,172.0,Stevenston
1728,Chris PATON,0,SNP,601.0,Stevenston
1729,Gerard POLLOCK,0,Ind,144.0,Stevenston
1730,John SWEENEY,1,Lab,697.0,Stevenston
1731,George DEVINE,0,Ind,223.0,Airdrie Central
1732,Trevor DOUGLAS,1,Con,763.0,Airdrie Central
1733,Jim LOGUE,1,Lab,1336.0,Airdrie Central
1734,Michael MCBRIDE,0,Lab,341.0,Airdrie Central
1735,Nancy PETTIGREW,1,SNP,874.0,Airdrie Central
1736,David STOCKS,1,SNP,844.0,Airdrie Central
1737,Peter SULLIVAN,0,IANL,385.0,Airdrie Central
1738,Claire WILLIAMS,0,Grn,121.0,Airdrie Central
1739,Alan BEVERIDGE,1,Ind,1084.0,Airdrie North
1740,Sophia COYLE,1,SNP,1320.0,Airdrie North
1741,David CULLEN,1,Con,1084.0,Airdrie North
1742,Kyle DAVIDSON,0,Grn,90.0,Airdrie North
1743,Daryl GARDNER,0,UKIP,63.0,Airdrie North
1744,Tommy MORGAN,1,Lab,1144.0,Airdrie North
1745,Andy PETTIGREW,0,SNP,356.0,Airdrie North
1746,Andrew SPOWART,0,Lab,798.0,Airdrie North
1747,AGNES COYLE,0,Ind,275.0,Airdrie South
1748,MICHAEL COYLE,1,SNP,1468.0,Airdrie South
1749,Paul DI MASCIO,1,SNP,907.0,Airdrie South
1750,Jed GRAHAM,0,Lab,846.0,Airdrie South
1751,Rosemary MCGOWAN,0,Grn,236.0,Airdrie South
1752,Ian MCNEIL,1,Lab,838.0,Airdrie South
1753,Peter OWENS,0,Ind,237.0,Airdrie South
1754,Sandy WATSON,1,Con,1396.0,Airdrie South
1755,William BROWN,0,UKIP,89.0,Bellshill
1756,Colin CAMERON,1,Con,870.0,Bellshill
1757,Angela CAMPBELL,1,Lab,608.0,Bellshill
1758,Harry CURRAN,1,Lab,1237.0,Bellshill
1759,John DEVLIN,0,Ind,313.0,Bellshill
1760,Jordan James LINDEN,1,SNP,1059.0,Bellshill
1761,Marina Johanna LYLE,0,SNP,742.0,Bellshill
1762,Ben CALLAGHAN,0,Con,723.0,Coatbridge North
1763,Graham James KERR,0,Grn,109.0,Coatbridge North
1764,Kirsten LARSON,1,SNP,1100.0,Coatbridge North
1765,Julie Patricia MCANULTY,0,Ind,423.0,Coatbridge North
1766,Alex MCVEY,1,Lab,1027.0,Coatbridge North
1767,Martin MCWILLIAMS,0,Ind,239.0,Coatbridge North
1768,Bill SHIELDS,1,Lab,660.0,Coatbridge North
1769,Allan STUBBS,1,SNP,596.0,Coatbridge North
1770,James BROOKS,0,IANL,311.0,Coatbridge South
1771,John CAMERON,0,Con,552.0,Coatbridge South
1772,Tracy CARRAGHER,1,SNP,1392.0,Coatbridge South
1773,Tom CASTLES,1,Lab,1056.0,Coatbridge South
1774,Gordon ENCINIAS,1,Lab,316.0,Coatbridge South
1775,John HIGGINS,0,IANL,211.0,Coatbridge South
1776,Fergus MACGREGOR,1,SNP,593.0,Coatbridge South
1777,Gerry SOMERS,0,Ind,216.0,Coatbridge South
1778,Kevin DOCHERTY,1,Lab,1378.0,Coatbridge West
1779,Mary GOURLAY,1,Lab,356.0,Coatbridge West
1780,Francis MCINTYRE,0,Con,343.0,Coatbridge West
1781,Caroline STEPHEN,1,SNP,1313.0,Coatbridge West
1782,Paul WELSH,0,SNP,383.0,Coatbridge West
1783,Claire BARCLAY,1,SNP,1312.0,Cumbernauld East
1784,Gillian FANNAN,1,Lab,789.0,Cumbernauld East
1785,Stevie GRANT,0,Lab,624.0,Cumbernauld East
1786,Paddy HOGG,1,SNP,824.0,Cumbernauld East
1787,Tom JOHNSTON,1,SNP,1345.0,Cumbernauld East
1788,Andy LOCKE,0,SSP,73.0,Cumbernauld East
1789,Anne MCCROSSAN,0,Grn,178.0,Cumbernauld East
1790,David STARK,0,Con,786.0,Cumbernauld East
1791,Danish ASHRAF,1,SNP,1007.0,Cumbernauld North
1792,Calum CURRIE,1,Con,1186.0,Cumbernauld North
1793,Tom FISHER,1,Lab,856.0,Cumbernauld North
1794,Kevin HAMILTON,0,Grn,281.0,Cumbernauld North
1795,Alan MASTERTON,1,SNP,1833.0,Cumbernauld North
1796,Barry MCCULLOCH,0,Lab,721.0,Cumbernauld North
1797,John MILLER,0,SSP,27.0,Cumbernauld North
1798,Fraser MORRISON,0,Ind,509.0,Cumbernauld North
1799,Alan O'BRIEN,0,Ind,711.0,Cumbernauld North
1800,Carl Dean PEARSON,0,UKIP,45.0,Cumbernauld North
1801,Junaid ASHRAF,1,SNP,836.0,Cumbernauld South
1802,Colin GIBSON,0,Con,738.0,Cumbernauld South
1803,William GOLDIE,1,SNP,1146.0,Cumbernauld South
1804,Allan GRAHAM,1,Lab,964.0,Cumbernauld South
1805,Stephanie GRIFFIN,0,Lab,727.0,Cumbernauld South
1806,William HOMER,0,Ind,224.0,Cumbernauld South
1807,Catherine JOHNSTON,1,SNP,1030.0,Cumbernauld South
1808,Patrick Pearse MCALEER,0,Grn,187.0,Cumbernauld South
1809,Kevin MCVEY,0,SSP,67.0,Cumbernauld South
1810,Charlie CEFFERTY,0,Ind,509.0,Fortissat
1811,Tommy COCHRANE,1,SNP,1016.0,Fortissat
1812,Martin MCCULLOCH,1,Lab,1477.0,Fortissat
1813,Jeffrey MCDONALD,0,NFMU,559.0,Fortissat
1814,Mags MURPHY,0,SNP,449.0,Fortissat
1815,Kenneth STEVENSON,1,Lab,363.0,Fortissat
1816,Sandy THORNTON,1,Con,670.0,Fortissat
1817,Sean CAIRNS,0,UKIP,96.0,Gartcosh Glenboig and Moodiesburn
1818,Willie DOOLAN,1,Lab,1241.0,Gartcosh Glenboig and Moodiesburn
1819,Greg LENNON,1,SNP,1235.0,Gartcosh Glenboig and Moodiesburn
1820,David MACLEAN,0,Con,587.0,Gartcosh Glenboig and Moodiesburn
1821,Michael MCPAKE,1,Lab,628.0,Gartcosh Glenboig and Moodiesburn
1822,Gerry PARKER,0,SNP,274.0,Gartcosh Glenboig and Moodiesburn
1823,John Gordon WILSON,0,Ind,278.0,Gartcosh Glenboig and Moodiesburn
1824,Paul ANDERSON,0,Con,503.0,Kilsyth
1825,Jean JONES,1,Lab,1496.0,Kilsyth
1826,Kevin KANE,0,Sol,69.0,Kilsyth
1827,Rob KAY,0,Grn,97.0,Kilsyth
1828,Mark John KERR,1,SNP,763.0,Kilsyth
1829,Heather MCVEY,1,Lab,780.0,Kilsyth
1830,Alan Gordon STEVENSON,0,SNP,731.0,Kilsyth
1831,David BAIRD,1,SNP,1062.0,Mossend and Holytown
1832,Michael Andrew CLARKSON,0,SNP,456.0,Mossend and Holytown
1833,Carol CUNNINGHAM,0,Con,641.0,Mossend and Holytown
1834,Frank MCNALLY,1,Lab,1131.0,Mossend and Holytown
1835,Jim REDDIN,1,Lab,429.0,Mossend and Holytown
1836,Ashley BAIRD,0,Con,908.0,Motherwell North
1837,Olivia CARSON,1,Lab,932.0,Motherwell North
1838,Shahid FAROOQ,1,SNP,1123.0,Motherwell North
1839,Helen MCKENNA,0,IANL,562.0,Motherwell North
1840,Pat O'ROURKE,1,Lab,1041.0,Motherwell North
1841,Ann WEIR,1,SNP,1097.0,Motherwell North
1842,Ben ADAMS,0,Grn,145.0,Motherwell South East and Ravenscraig
1843,Deryck BEAUMONT,0,Ind,21.0,Motherwell South East and Ravenscraig
1844,Kenneth DUFFY,1,Lab,859.0,Motherwell South East and Ravenscraig
1845,Ian GLENNY,0,Ind,186.0,Motherwell South East and Ravenscraig
1846,Kaye HARMON,0,Lab,565.0,Motherwell South East and Ravenscraig
1847,Ian KELLY,0,Ind,131.0,Motherwell South East and Ravenscraig
1848,Agnes Duncan MAGOWAN,1,SNP,1507.0,Motherwell South East and Ravenscraig
1849,James MITCHELL,0,Sol,25.0,Motherwell South East and Ravenscraig
1850,Gary O'RORKE,0,IANL,325.0,Motherwell South East and Ravenscraig
1851,Alan VALENTINE,1,SNP,964.0,Motherwell South East and Ravenscraig
1852,NATHAN WILSON,1,Con,1188.0,Motherwell South East and Ravenscraig
1853,NEIL WILSON,0,UKIP,68.0,Motherwell South East and Ravenscraig
1854,Julie FLEMING,0,RISE,186.0,Motherwell West
1855,Meghan GALLACHER,1,Con,1002.0,Motherwell West
1856,Paul KELLY,1,Lab,917.0,Motherwell West
1857,Elaine MCSPADDEN,0,IANL,87.0,Motherwell West
1858,Michael Edward ROSS,0,Lab,638.0,Motherwell West
1859,Jamie SUPER,0,SNP,763.0,Motherwell West
1860,Annette VALENTINE,1,SNP,964.0,Motherwell West
1861,Robert ARTHUR,0,Ind,154.0,Murdostoun
1862,Cindy MACKENZIE,0,Con,825.0,Murdostoun
1863,Robert MCKENDRICK,1,Ind,1765.0,Murdostoun
1864,Cameron William MCMANUS,1,SNP,1210.0,Murdostoun
1865,Yvonne MILLAR,0,UKIP,67.0,Murdostoun
1866,Anum QAISAR,0,SNP,581.0,Murdostoun
1867,Louise ROARTY,1,Lab,738.0,Murdostoun
1868,Nicky SHEVLIN,1,Lab,782.0,Murdostoun
1869,John TAGGART,0,Ind,284.0,Murdostoun
1870,Lynne ANDERSON,1,SNP,1292.0,Stepps Chryston and Muirhead
1871,Stephen GOLDSACK,1,Con,987.0,Stepps Chryston and Muirhead
1872,Stephen Francis KIRLEY,0,SNP,227.0,Stepps Chryston and Muirhead
1873,Scott LAMOND,0,Lab,759.0,Stepps Chryston and Muirhead
1874,Frances MCGLINCHEY,0,Ind,416.0,Stepps Chryston and Muirhead
1875,John MCLAREN,1,Lab,878.0,Stepps Chryston and Muirhead
1876,Steven BONNAR,1,SNP,1460.0,Thorniewood
1877,Bob BURROWS,1,Lab,1568.0,Thorniewood
1878,Hugh GAFFNEY,1,Lab,786.0,Thorniewood
1879,Christine MCCONNELL,0,Con,519.0,Thorniewood
1880,Josh ROBERTSON,0,SNP,351.0,Thorniewood
1881,Bob BURGESS,1,Con,1067.0,Wishaw
1882,Angela FEENEY,1,Lab,1075.0,Wishaw
1883,Fiona FOTHERINGHAM,1,SNP,1442.0,Wishaw
1884,Jim HUME,1,SNP,775.0,Wishaw
1885,Sam LOVE,0,IANL,728.0,Wishaw
1886,Frank MCKAY,0,IANL,214.0,Wishaw
1887,Jim ROBERTSON,0,Lab,387.0,Wishaw
1888,Norman Rae CRAIGIE,1,Ind,238.0,"East Mainland, South Ronaldsay and Burray"
1889,Andrew DREVER,1,Ind,509.0,"East Mainland, South Ronaldsay and Burray"
1890,Jim FOUBISTER,0,Ind,192.0,"East Mainland, South Ronaldsay and Burray"
1891,John Stanley GROUNDWATER,0,Ind,201.0,"East Mainland, South Ronaldsay and Burray"
1892,Steve SANKEY,1,Grn,284.0,"East Mainland, South Ronaldsay and Burray"
1893,Mike BERSTON,0,Ind,60.0,Kirkwall East
1894,DAVID DAWSON,1,Ind,256.0,Kirkwall East
1895,PAUL DAWSON,0,Ind,14.0,Kirkwall East
1896,Steven HEDDLE,1,Ind,474.0,Kirkwall East
1897,Ingirid Windwick JOLLY,0,Ind,75.0,Kirkwall East
1898,Rikki LIDDERDALE,0,Ind,113.0,Kirkwall East
1899,John Ross SCOTT,1,Ind,291.0,Kirkwall East
1900,Gwenda SHEARER,1,Ind,344.0,Kirkwall East
1901,Sandy COWIE,1,Ind,160.0,Kirkwall West and Orphir
1902,Barbara FOULKES,1,Ind,150.0,Kirkwall West and Orphir
1903,Barbara LESLIE,0,Ind,109.0,Kirkwall West and Orphir
1904,Alastair MACLEOD,0,Ind,39.0,Kirkwall West and Orphir
1905,Leslie MANSON,1,Ind,646.0,Kirkwall West and Orphir
1906,John RICHARDS,1,OMG,333.0,Kirkwall West and Orphir
1907,Max THOMAS,0,Ind,10.0,Kirkwall West and Orphir
1908,Stephen CLACKSON,1,Ind,197.0,North Isles
1909,Stuart Roy McIVOR,0,Ind,118.0,North Isles
1910,George Arthur MOWAT-BROWN,0,Ind,39.0,North Isles
1911,Billy MUIR,0,Ind,35.0,North Isles
1912,Graham SINCLAIR,1,Ind,290.0,North Isles
1913,Ralph STEVENSON,0,Ind,70.0,North Isles
1914,Simon TARRY,0,Ind,70.0,North Isles
1915,Kevin WOODBRIDGE,1,Ind,256.0,North Isles
1916,Robin William CRICHTON,1,Ind,,Stromness and South Isles
1917,James STOCKAN,1,Ind,,Stromness and South Isles
1918,Magnus Olaf THOMSON,1,Ind,,Stromness and South Isles
1919,Harvey JOHNSTON,1,Ind,536.0,West Mainland
1920,Jo JONES,0,Ind,70.0,West Mainland
1921,Rachael KING,1,OMG,561.0,West Mainland
1922,Sean Michael LEWIS,0,Ind,39.0,West Mainland
1923,Owen TIERNEY,1,Ind,370.0,West Mainland
1924,Duncan Allan TULLOCK,1,Ind,191.0,West Mainland
1925,Helen Kathleen WOODSFORD-DEAN,0,Grn,66.0,West Mainland
1926,Henry ANDERSON,1,SNP,882.0,Almond and Earn
1927,Kathleen BAIRD,1,Con,1724.0,Almond and Earn
1928,Linda Mary BUCHAN,0,Grn,214.0,Almond and Earn
1929,Peter GLENNIE,0,SNP,330.0,Almond and Earn
1930,David ILLINGWORTH,1,Con,717.0,Almond and Earn
1931,Chris RENNIE,0,SLD,230.0,Almond and Earn
1932,Bob BRAWN,1,Con,897.0,Blairgowrie and Glens
1933,Gordon Ross CLARK,0,SLD,141.0,Blairgowrie and Glens
1934,Tom MCEWAN,1,SNP,1055.0,Blairgowrie and Glens
1935,Alison MULHOLLAND,0,SNP,609.0,Blairgowrie and Glens
1936,Louise RAMSAY,0,Grn,164.0,Blairgowrie and Glens
1937,Caroline SHIERS,1,Con,1641.0,Blairgowrie and Glens
1938,Alasdair BAILEY,1,Lab,656.0,Carse of Gowrie
1939,Hilary CHARLES,0,Grn,165.0,Carse of Gowrie
1940,Angus FORBES,1,Con,1916.0,Carse of Gowrie
1941,Mary Stronach MATHESON,0,SLD,203.0,Carse of Gowrie
1942,BETH POVER,1,SNP,810.0,Carse of Gowrie
1943,DOUGLAS BRIAN POVER,0,SNP,668.0,Carse of Gowrie
1944,Ian CAMPBELL,1,Con,1927.0,Highland
1945,Kirsty GOWANS,0,SNP,734.0,Highland
1946,Xander MCDADE,1,Ind,449.0,Highland
1947,Mary MCDOUGALL,0,Grn,168.0,Highland
1948,Kenneth Robertson SPITTAL,0,SLD,148.0,Highland
1949,Mike WILLIAMSON,1,SNP,815.0,Highland
1950,Mike BARNACLE,1,Ind,747.0,Kinross-Shire
1951,Dave CUTHBERT,0,Ind,600.0,Kinross-Shire
1952,Karen Jane GRUNWELL,0,Grn,142.0,Kinross-Shire
1953,David MACKENZIE,0,Lab,293.0,Kinross-Shire
1954,Callum PURVES,1,Con,1642.0,Kinross-Shire
1955,Willie ROBERTSON,1,SLD,1062.0,Kinross-Shire
1956,John ROSS,0,Con,489.0,Kinross-Shire
1957,Richard WATTERS,1,SNP,1169.0,Kinross-Shire
1958,Chris AHERN,1,Con,1763.0,Perth City Centre
1959,Peter Anthony BARRETT,1,SLD,1038.0,Perth City Centre
1960,Eric DRYSDALE,1,SNP,1076.0,Perth City Centre
1961,Tricia DUNCAN,0,Lab,474.0,Perth City Centre
1962,Fraser Calum HUNTER,0,Grn,174.0,Perth City Centre
1963,Andrew PARROTT,1,SNP,758.0,Perth City Centre
1964,Ian THOMSON,0,IndN,78.0,Perth City Centre
1965,David William WEST,0,Ind,22.0,Perth City Centre
1966,Philip James BROWN,0,SLD,126.0,Perth City North
1967,Harry COATES,1,Con,933.0,Perth City North
1968,Dave DOOGAN,1,SNP,1290.0,Perth City North
1969,Sam FINLAYSON,0,Ind,91.0,Perth City North
1970,Arthur Alexander FRATER,0,Ind,37.0,Perth City North
1971,Callum GILLIES,0,Lab,577.0,Perth City North
1972,Elspeth MACLACHLAN,0,Ind,113.0,Perth City North
1973,John REBBECK,1,SNP,480.0,Perth City North
1974,Bob BAND,1,SNP,1039.0,Perth City South
1975,Susan BATHGATE,0,Ind,253.0,Perth City South
1976,Damian HOUSTON,0,Ind,96.0,Perth City South
1977,Michael JAMIESON,1,Con,1757.0,Perth City South
1978,Sheila MCCOLE,1,SNP,754.0,Perth City South
1979,Alistair MUNRO,0,Lab,444.0,Perth City South
1980,Paul Mark VALLOT,0,Grn,213.0,Perth City South
1981,Willie WILSON,1,SLD,2417.0,Perth City South
1982,Fhinan BEYTS,0,Lab,235.0,Strathallan
1983,Bruce FUMMEY,0,Grn,169.0,Strathallan
1984,Ann Gourlay GAUNT,0,SLD,538.0,Strathallan
1985,Tom GRAY,1,SNP,667.0,Strathallan
1986,Murray LYLE,1,Con,1280.0,Strathallan
1987,Mairi MACDONALD,0,SNP,578.0,Strathallan
1988,Crawford REID,1,Con,1079.0,Strathallan
1989,Ron ROSE,0,Ind,18.0,Strathallan
1990,Rhona BROCK,1,Ind,1112.0,Strathearn
1991,Lawrence Bernard BUCKLEY,0,Grn,187.0,Strathearn
1992,Stewart DONALDSON,1,SNP,605.0,Strathearn
1993,John FELLOWS,0,SNP,481.0,Strathearn
1994,Craig FINLAY,0,Ind,275.0,Strathearn
1995,Roz MCCALL,1,Con,1204.0,Strathearn
1996,Alex MENZIES-RUNCIMAN,0,Con,590.0,Strathearn
1997,Tina NG-A-MANN,0,SLD,82.0,Strathearn
1998,Michael Peregrine GALLAGHER,0,Grn,268.0,Strathmore
1999,Alan LIVINGSTONE,0,Ind,270.0,Strathmore
2000,Dennis MELLOY,1,Con,1833.0,Strathmore
2001,Fiona Janet SARWAR,1,SNP,1251.0,Strathmore
2002,Lewis David Dawson SIMPSON,1,SLD,1342.0,Strathmore
2003,Colin STEWART,1,Con,1047.0,Strathmore
2004,Ian STRATTON,0,SNP,866.0,Strathmore
2005,Elspeth Anne COUTTS,0,Grn,219.0,Strathtay
2006,Ian JAMES,1,Con,1015.0,Strathtay
2007,Anne JARVIS,1,Con,1307.0,Strathtay
2008,John KELLAS,0,SNP,945.0,Strathtay
2009,Grant LAING,1,SNP,1009.0,Strathtay
2010,Alex LINKLATER,0,SLD,212.0,Strathtay
2011,Frank STEVENSON,0,Lab,463.0,Strathtay
2012,Natalie DON,1,SNP,1783.0,Bishopton-Bridge of Weir and Langbank
2013,Elliot Alexander HARRISON,0,SLD,212.0,Bishopton-Bridge of Weir and Langbank
2014,Ellen HOFER-FRANZ,0,Grn,170.0,Bishopton-Bridge of Weir and Langbank
2015,James MACLAREN,1,Con,2552.0,Bishopton-Bridge of Weir and Langbank
2016,Colin MCCULLOCH,1,Lab,896.0,Bishopton-Bridge of Weir and Langbank
2017,Tom BEGG,1,Con,1333.0,Erskine and Inchinnan
2018,John BOYD,0,SLD,104.0,Erskine and Inchinnan
2019,Andy CAMERON,0,Ind,687.0,Erskine and Inchinnan
2020,Michelle CAMPBELL,1,SNP,914.0,Erskine and Inchinnan
2021,Mairi CRANIE,0,Grn,115.0,Erskine and Inchinnan
2022,Jim HALFPENNY,0,TUSC,41.0,Erskine and Inchinnan
2023,Jim HARTE,1,Lab,924.0,Erskine and Inchinnan
2024,Sam MULLIN,0,Lab,834.0,Erskine and Inchinnan
2025,Iain NICOLSON,1,SNP,1441.0,Erskine and Inchinnan
2026,Audrey DOIG,1,SNP,1204.0,Houston-Crosslee and Linwood
2027,Alison Jean DOWLING,1,Lab,786.0,Houston-Crosslee and Linwood
2028,Allan HERON,0,SLD,162.0,Houston-Crosslee and Linwood
2029,Robert INNES,0,SNP,774.0,Houston-Crosslee and Linwood
2030,Scott KERR,1,Con,1574.0,Houston-Crosslee and Linwood
2031,James SHERIDAN,1,Lab,935.0,Houston-Crosslee and Linwood
2032,Helen Lorraine SPEIRS,0,Grn,195.0,Houston-Crosslee and Linwood
2033,Sarah Elizabeth ANDERSON,0,Grn,259.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2034,Derek BIBBY,1,Lab,1204.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2035,Bill BINKS,1,Con,1062.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2036,Andy DOIG,1,Ind,890.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2037,William DUFF,0,SLD,82.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2038,Christopher GILMOUR,0,Lab,613.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2039,Geoffrey Richard KNOWLES,0,SSP,25.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2040,Cheryl O'BRIEN,0,UKIP,32.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2041,Emma RODDEN,1,SNP,1099.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2042,Graeme Ramsay STOCKTON,0,SNP,829.0,Johnstone North-Kilbarchan-Howwood and Lochwinnoch
2043,John CALDWELL,0,Ind,495.0,Johnstone South and Elderslie
2044,Jacqueline CAMERON,1,SNP,1392.0,Johnstone South and Elderslie
2045,John HOOD,1,Lab,1448.0,Johnstone South and Elderslie
2046,Alistair MACKAY,1,Con,962.0,Johnstone South and Elderslie
2047,Andy STEEL,1,SNP,644.0,Johnstone South and Elderslie
2048,Megan TAIT,0,Grn,153.0,Johnstone South and Elderslie
2049,Thomas Dempster WALLACE,0,Lab,444.0,Johnstone South and Elderslie
2050,Samantha ALLAN,0,SLD,105.0,Paisley East and Central
2051,John CAMERON,0,Con,638.0,Paisley East and Central
2052,Carolann DAVIDSON,1,Lab,821.0,Paisley East and Central
2053,Stuart Alexander MCAUSLAND,0,Lab,411.0,Paisley East and Central
2054,John MCNAUGHTAN,1,SNP,1007.0,Paisley East and Central
2055,Will MYLET,1,SNP,608.0,Paisley East and Central
2056,Daniel Alexander SPEIRS,0,Grn,208.0,Paisley East and Central
2057,Jennifer Marion ADAM-MCGREGOR,1,SNP,874.0,Paisley Northeast and Ralston
2058,Lindsay BROWN,0,SSP,44.0,Paisley Northeast and Ralston
2059,Catriona CAMPBELL,0,SLD,562.0,Paisley Northeast and Ralston
2060,Billy CARLIN,0,Ind,50.0,Paisley Northeast and Ralston
2061,John CLARK,0,SNP,862.0,Paisley Northeast and Ralston
2062,Neill GRAHAM,1,Con,1091.0,Paisley Northeast and Ralston
2063,Duncan MACINTOSH,0,Grn,170.0,Paisley Northeast and Ralston
2064,JIM SHARKEY,1,Lab,835.0,Paisley Northeast and Ralston
2065,MAUREEN SHARKEY,0,Lab,316.0,Paisley Northeast and Ralston
2066,Jack CLARK,0,SLD,123.0,Paisley Northwest
2067,Beth DOUGLAS,0,Grn,188.0,Paisley Northwest
2068,Andy DOYLE,0,Ind,211.0,Paisley Northwest
2069,Karen KENNEDY,1,Lab,850.0,Paisley Northwest
2070,KENNY MACLAREN,1,SNP,1303.0,Paisley Northwest
2071,MAGS MACLAREN,1,SNP,811.0,Paisley Northwest
2072,JOHN MCINTYRE,1,Con,657.0,Paisley Northwest
2073,JOHN GOUDIE MCINTYRE,0,Ind,185.0,Paisley Northwest
2074,Sandra WEBSTER,0,SSP,42.0,Paisley Northwest
2075,Tommy WILLIAMS,0,Lab,493.0,Paisley Northwest
2076,Eddie DEVINE,1,Lab,1009.0,Paisley Southeast
2077,Sheila FULTON,0,Con,695.0,Paisley Southeast
2078,Paul MACK,1,Ind,648.0,Paisley Southeast
2079,Marie MCGURK,1,SNP,1047.0,Paisley Southeast
2080,Emma Louise MCSHANE,0,Grn,156.0,Paisley Southeast
2081,John MILLER,0,SSP,14.0,Paisley Southeast
2082,Ben SMITH,0,Lab,250.0,Paisley Southeast
2083,Janette SWANSON,0,SNP,664.0,Paisley Southeast
2084,Michael Thomas WILSON,0,SLD,114.0,Paisley Southeast
2085,Stephen BURNS,1,SNP,724.0,Paisley Southwest
2086,Lorraine CAMERON,1,SNP,972.0,Paisley Southwest
2087,James HALPIN,0,Con,751.0,Paisley Southwest
2088,Sean McEvoy LAFFERTY,0,Grn,157.0,Paisley Southwest
2089,Eileen MCCARTIN,1,SLD,993.0,Paisley Southwest
2090,Brian Alexander MCGUIRE,0,SNP,560.0,Paisley Southwest
2091,Kevin MONTGOMERY,1,Lab,1457.0,Paisley Southwest
2092,Bill BROWN,1,Lab,1104.0,Renfrew North and Braehead
2093,Lisa-Marie HUGHES,1,SNP,832.0,Renfrew North and Braehead
2094,Peter MORTON,0,Ind,153.0,Renfrew North and Braehead
2095,Alexander MURRIN,0,Lab,645.0,Renfrew North and Braehead
2096,Nathalie ROSSET,0,Grn,145.0,Renfrew North and Braehead
2097,John SHAW,1,SNP,1335.0,Renfrew North and Braehead
2098,Ross STALKER,0,SLD,123.0,Renfrew North and Braehead
2099,Jane STRANG,1,Con,1084.0,Renfrew North and Braehead
2100,Graham Francis BATIN,0,Grn,114.0,Renfrew South and Gallowhill
2101,Margaret DEVINE,0,Lab,616.0,Renfrew South and Gallowhill
2102,Mark DOUGAN,0,Con,725.0,Renfrew South and Gallowhill
2103,Edward GRADY,1,Lab,708.0,Renfrew South and Gallowhill
2104,Cathy MCEWAN,1,SNP,1079.0,Renfrew South and Gallowhill
2105,Richard NEVILLE,0,TUSC,48.0,Renfrew South and Gallowhill
2106,Jim PATERSON,1,SNP,709.0,Renfrew South and Gallowhill
2107,Michael CLIFT,0,Ind,178.0,East Berwickshire
2108,Eddy COULSON,0,Lab,301.0,East Berwickshire
2109,Kate DUNCAN,0,Grn,162.0,East Berwickshire
2110,Jim FULLARTON,1,Con,1505.0,East Berwickshire
2111,Carol HAMILTON,1,Con,979.0,East Berwickshire
2112,Helen LAING,1,SNP,831.0,East Berwickshire
2113,Danny ROBERTSON,0,SLD,276.0,East Berwickshire
2114,Sandy AITCHISON,1,Ind,539.0,Galashiels & District
2115,Andy ANDERSON,1,SNP,907.0,Galashiels & District
2116,Caledonia BHATIA,0,Ind,249.0,Galashiels & District
2117,Euan JARDINE,1,Con,1292.0,Galashiels & District
2118,John MITCHELL,0,SNP,523.0,Galashiels & District
2119,Harry SCOTT,1,Ind,460.0,Galashiels & District
2120,David SHARP,0,Lab,167.0,Galashiels & District
2121,Bill WHITE,0,Ind,396.0,Galashiels & District
2122,David BYRNE,0,Lab,57.0,Hawick & Denholm
