,Candidate,Elected,Party,Votes,Ward
268,Gill STRANOCK,0,SNP,570.0,Montrose and District
269,Ron STURROCK,1,Con,1375.0,Montrose and District
270,William Gordon BLAIR,1,SNP,918.0,Cowal
271,Alex MCNAUGHTON,0,Ind,389.0,Cowal
272,Yvonne MCNEILLY,1,Con,912.0,Cowal
273,Alison MULHOLLAND,0,SNP,287.0,Cowal
274,Alan REID,1,SLD,791.0,Cowal
275,Susanna RICE,0,Lab,187.0,Cowal
276,John ALLISON,0,Ind,216.0,Dunoon
277,Jim ANDERSON,1,Ind,313.0,Dunoon
278,Audrey E FORREST,1,SNP,575.0,Dunoon
279,Bobby GOOD,1,Con,534.0,Dunoon
280,Brian LOGAN,0,Ind,121.0,Dunoon
281,Keir LOW,0,SNP,411.0,Dunoon
282,Gordon MCKINVEN,0,Ind,154.0,Dunoon
283,Jimmy MCQUEEN,0,Ind,142.0,Dunoon
284,Ross MORELAND,0,SLD,264.0,Dunoon
285,Mick RICE,0,Lab,195.0,Dunoon
286,Mike CROWE,0,Ind,248.0,Helensburgh and Lomond South
287,Jacqueline DAVIS,0,SLD,239.0,Helensburgh and Lomond South
288,Christopher FAGAN,0,Lab,250.0,Helensburgh and Lomond South
289,David KINNIBURGH,1,Con,1149.0,Helensburgh and Lomond South
290,Ian MACQUIRE,0,Ind,94.0,Helensburgh and Lomond South
291,Ellen MORTON,1,SLD,412.0,Helensburgh and Lomond South
292,Jack William STREETER,0,UKIP,32.0,Helensburgh and Lomond South
293,Richard TRAIL,1,SNP,525.0,Helensburgh and Lomond South
294,Lorna DOUGLAS,1,SNP,873.0,Helensburgh Central
295,Graham Archibald HARDIE,1,SLD,258.0,Helensburgh Central
296,Aileen MORTON,1,SLD,694.0,Helensburgh Central
297,Gary MULVANEY,1,Con,1789.0,Helensburgh Central
298,James ROBB,0,Ind,247.0,Helensburgh Central
299,Jim FINDLAY,1,SNP,433.0,Isle of Bute
300,Fraser GILLIES,0,Ind,325.0,Isle of Bute
301,Robert MACINTYRE,0,SNP,395.0,Isle of Bute
302,John MCCALLUM,0,Ind,85.0,Isle of Bute
303,Jean Murray MOFFAT,1,Ind,472.0,Isle of Bute
304,Len SCOULLAR,1,Ind,340.0,Isle of Bute
305,Peter WALLACE,0,Con,427.0,Isle of Bute
306,Robin CURRIE,1,SLD,626.0,Kintyre and the Islands
307,Anne HORN,1,SNP,821.0,Kintyre and the Islands
308,Michael KELLY,0,Lab,160.0,Kintyre and the Islands
309,John MCALPINE,0,Ind,411.0,Kintyre and the Islands
310,Alastair REDMAN,1,Con,648.0,Kintyre and the Islands
311,Ed TYLER,0,Grn,134.0,Kintyre and the Islands
312,Fiona BAKER,0,Ind,407.0,Lomond North
313,George FREEMAN,1,Ind,587.0,Lomond North
314,Fiona HOWARD,0,Lab,212.0,Lomond North
315,Paul Donald KENNEDY,0,SLD,133.0,Lomond North
316,Robert MACINTYRE,0,Ind,359.0,Lomond North
317,Barbara MORGAN,1,Con,989.0,Lomond North
318,Iain Shonny PATERSON,1,SNP,678.0,Lomond North
319,Jane KELLY,0,Lab,132.0,Mid-Argyll
320,Donnie MACMILLAN,1,Ind,427.0,Mid-Argyll
321,Jane MCCURDIE,0,Ind,190.0,Mid-Argyll
322,Alec MCNEILLY,0,Con,528.0,Mid-Argyll
323,Elaine MORRISON,0,Grn,171.0,Mid-Argyll
324,Douglas Trevor PHILAND,1,Ind,948.0,Mid-Argyll
325,Sandy TAYLOR,1,SNP,911.0,Mid-Argyll
326,Brian BURNETT,0,Ind,111.0,Oban North and Lorn
327,Kieron GREEN,1,Ind,485.0,Oban North and Lorn
328,Neil MACKAY,0,Ind,182.0,Oban North and Lorn
329,Julie MCKENZIE,1,SNP,690.0,Oban North and Lorn
330,Allan MCKIE,0,Ind,62.0,Oban North and Lorn
331,William MOHIEDDEEN,0,Grn,304.0,Oban North and Lorn
332,Grant NICHOLSON,0,Ind,154.0,Oban North and Lorn
333,Elaine ROBERTSON,1,Ind,913.0,Oban North and Lorn
334,Breege SMYTH,0,SNP,538.0,Oban North and Lorn
335,Andrew VENNARD,1,Con,710.0,Oban North and Lorn
336,Jake AINSCOUGH,0,Lab,226.0,Oban South and the Isles
337,Mary-Jean DEVON,1,Ind,734.0,Oban South and the Isles
338,Jim LYNCH,1,SNP,613.0,Oban South and the Isles
339,Alistair MACDOUGALL,0,Ind,155.0,Oban South and the Isles
340,Sean MACINTYRE,0,SNP,506.0,Oban South and the Isles
341,Roddy MCCUISH,1,Ind,808.0,Oban South and the Isles
342,Jamie MCGRIGOR,1,Con,629.0,Oban South and the Isles
343,David POLLARD,0,SLD,154.0,Oban South and the Isles
344,John Armour,1,SNP,,South Kintyre
345,Rory Colville,1,SLD,,South Kintyre
346,Donald Kelly,1,Con,,South Kintyre
